ID,Supply_Depot_Address,CountryFlag,Locality,Locality_Norm,Query_Locality,Matched_District,Match_Score,Match_Method,Fuel Zone,Magisterial code,Province,Match_Status
1,"Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
2,"eMalahleni, 1035, South Africa",SA,eMalahleni,Witbank,Witbank,Witbank,100.0,fuzzy,09C,TB402,Mpumalanga,OK
3,"Rustenburg, South Africa",SA,Rustenburg,Rustenburg,Rustenburg,Rustenburg,100.0,fuzzy,09C,SP303,North West,OK
4,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
5,"Milnerton, Cape Town, South Africa",SA,Cape Town,Cape Town,Cape Town,Cape Town,100.0,fuzzy,01A,BV050,Western Cape,OK
6,"Klerksdorp, South Africa",SA,Klerksdorp,Klerksdorp,Klerksdorp,Klerksdorp,100.0,fuzzy,09C,RT177,North West,OK
7,"Durban, South Africa",SA,Durban,Durban,Durban,Durban,100.0,fuzzy,01A,LF072,KwaZulu Natal,OK
8,"Gqeberha, South Africa",SA,Gqeberha,Port Elizabeth,Port Elizabeth,Port Elizabeth,100.0,fuzzy,01A,EL263,Eastern Cape,OK
9,"Rustenburg, South Africa",SA,Rustenburg,Rustenburg,Rustenburg,Rustenburg,100.0,fuzzy,09C,SP303,North West,OK
10,"eMalahleni, 1035, South Africa",SA,eMalahleni,Witbank,Witbank,Witbank,100.0,fuzzy,09C,TB402,Mpumalanga,OK
11,"Langlaagte, Johannesburg, 2102, South Africa",SA,Johannesburg,Johannesburg,Johannesburg,Johannesburg,100.0,fuzzy,09C,RS157,Gauteng,OK
12,"East London, South Africa",SA,East London,East London,East London,East London,100.0,fuzzy,01A,CH083,Eastern Cape,OK
13,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
14,"Cape Town, South Africa",SA,Cape Town,Cape Town,Cape Town,Cape Town,100.0,fuzzy,01A,BV050,Western Cape,OK
15,"Klerksdorp, South Africa",SA,Klerksdorp,Klerksdorp,Klerksdorp,Klerksdorp,100.0,fuzzy,09C,RT177,North West,OK
16,"Bloemfontein, South Africa",SA,Bloemfontein,Bloemfontein,Bloemfontein,Bloemfontein,100.0,fuzzy,11C,PC042,Free State,OK
17,"Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
18,"Wentworth, Bluff, 4052, South Africa",SA,Bluff,Durban,Durban,Durban,100.0,fuzzy,01A,LF072,KwaZulu Natal,OK
19,"Mbombela, South Africa",SA,Mbombela,Nelspruit,Nelspruit,Nelspruit,100.0,fuzzy,61C,SC246,Mpumalanga,OK
20,"Gqeberha, South Africa",SA,Gqeberha,Port Elizabeth,Port Elizabeth,Port Elizabeth,100.0,fuzzy,01A,EL263,Eastern Cape,OK
21,"Alberton, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
22,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
23,"East London, South Africa",SA,East London,East London,East London,East London,100.0,fuzzy,01A,CH083,Eastern Cape,OK
24,"100 Duncan Rd, Foreshore, Cape Town, 8001, South Africa",SA,Cape Town,Cape Town,Cape Town,Cape Town,100.0,fuzzy,01A,BV050,Western Cape,OK
25,"Cape Town, South Africa",SA,Cape Town,Cape Town,Cape Town,Cape Town,100.0,fuzzy,01A,BV050,Western Cape,OK
