Customer_Depot_FK,One_way_distance,Supplier_Depot_FK
3.0,54.85,1.0
4.0,149.15,2.0
6.0,49.62,3.0
7.0,5.61,3.0
10.0,25.04,4.0
11.0,102.96,5.0
12.0,37.11,1.0
14.0,29.41,1.0
16.0,992.18,5.0
17.0,69.9,1.0
18.0,1047.28,5.0
19.0,118.39,1.0
20.0,29.41,1.0
22.0,164.43,6.0
23.0,47.64,4.0
24.0,17.19,4.0
34.0,172.59,6.0
35.0,45.59,7.0
36.0,41.69,4.0
37.0,6.29,3.0
40.0,23.07,1.0
46.0,3.68,1.0
48.0,8.02,7.0
51.0,10.86,5.0
56.0,15.68,8.0
57.0,12.51,1.0
58.0,12.51,1.0
60.0,289.83,6.0
61.0,21.16,5.0
1.0,53.48,9.0
2.0,186.91,10.0
3.0,47.3,11.0
4.0,149.15,10.0
5.0,102.48,9.0
6.0,49.62,9.0
7.0,5.61,9.0
9.0,48.2,12.0
10.0,25.04,13.0
11.0,112.0,14.0
12.0,20.4,11.0
13.0,95.32,10.0
14.0,2.48,11.0
16.0,406.94,15.0
17.0,55.31,11.0
18.0,351.01,15.0
19.0,95.43,10.0
20.0,2.48,11.0
22.0,138.04,16.0
23.0,32.47,11.0
24.0,17.19,13.0
26.0,27.48,17.0
27.0,428.79,14.0
28.0,407.09,14.0
29.0,239.79,10.0
30.0,463.8,14.0
31.0,300.41,12.0
32.0,292.84,12.0
33.0,227.8,13.0
34.0,296.21,13.0
35.0,47.57,18.0
36.0,41.69,13.0
37.0,6.29,9.0
38.0,118.3,19.0
39.0,67.93,19.0
40.0,6.01,11.0
41.0,18.13,9.0
45.0,176.4,15.0
46.0,3.68,17.0
47.0,22.19,18.0
48.0,4.81,18.0
51.0,23.9,14.0
56.0,15.68,20.0
57.0,12.51,17.0
58.0,12.51,17.0
60.0,9.43,16.0
61.0,30.2,14.0
1.0,189.35,21.0
2.0,287.55,22.0
3.0,56.27,21.0
4.0,150.77,21.0
5.0,193.29,22.0
6.0,185.5,21.0
7.0,154.97,21.0
9.0,48.2,23.0
10.0,25.04,22.0
11.0,111.69,24.0
12.0,38.52,21.0
13.0,155.24,21.0
14.0,24.11,21.0
16.0,1004.91,24.0
17.0,69.46,21.0
18.0,1060.01,24.0
19.0,124.49,21.0
20.0,24.11,21.0
22.0,555.36,25.0
23.0,41.95,21.0
24.0,17.19,22.0
26.0,33.59,21.0
27.0,429.89,24.0
28.0,408.2,24.0
29.0,1642.19,24.0
30.0,464.9,24.0
31.0,300.41,23.0
32.0,292.84,23.0
33.0,227.8,22.0
34.0,303.51,21.0
35.0,50.37,25.0
36.0,41.69,22.0
37.0,152.27,21.0
38.0,470.13,21.0
39.0,419.76,21.0
40.0,22.63,21.0
41.0,132.6,21.0
45.0,307.32,21.0
46.0,3.06,21.0
47.0,24.98,25.0
48.0,7.61,25.0
51.0,23.59,24.0
56.0,280.04,23.0
57.0,12.07,21.0
58.0,12.07,21.0
60.0,644.82,25.0
61.0,29.89,24.0
1.0,156.07,26.0
2.0,642.37,27.0
3.0,626.14,27.0
4.0,442.23,27.0
5.0,340.7,28.0
6.0,152.22,26.0
7.0,135.03,26.0
9.0,48.2,29.0
10.0,25.04,26.0
11.0,112.0,30.0
12.0,608.39,27.0
13.0,30.12,28.0
14.0,600.7,27.0
16.0,1005.22,30.0
17.0,647.43,27.0
18.0,1060.32,30.0
19.0,498.7,27.0
20.0,136.44,28.0
22.0,138.04,31.0
23.0,611.82,27.0
24.0,673.84,27.0
26.0,110.34,28.0
27.0,52.38,32.0
28.0,30.68,32.0
29.0,315.56,27.0
30.0,87.39,32.0
31.0,300.41,29.0
32.0,292.84,29.0
33.0,375.2,28.0
34.0,296.21,26.0
35.0,45.59,33.0
36.0,41.69,26.0
37.0,136.3,26.0
38.0,41.92,34.0
39.0,18.92,34.0
40.0,23.07,35.0
41.0,130.86,26.0
45.0,320.81,26.0
46.0,583.59,27.0
47.0,16.47,33.0
48.0,8.02,33.0
51.0,23.9,30.0
56.0,15.68,36.0
57.0,587.37,27.0
58.0,587.37,27.0
60.0,9.43,31.0
61.0,30.2,30.0
39.0,76.01,37.0
46.0,3.06,38.0
57.0,12.07,38.0
3.0,54.85,39.0
4.0,147.87,39.0
5.0,193.29,40.0
6.0,152.22,40.0
7.0,135.03,40.0
11.0,102.96,41.0
12.0,37.11,39.0
14.0,29.41,39.0
17.0,131.84,40.0
18.0,351.01,42.0
22.0,162.46,43.0
23.0,47.64,40.0
24.0,17.19,40.0
30.0,87.39,44.0
31.0,300.41,45.0
32.0,292.84,45.0
33.0,227.8,40.0
34.0,172.59,42.0
35.0,50.37,46.0
37.0,136.3,40.0
38.0,118.3,47.0
39.0,67.93,47.0
40.0,23.07,39.0
45.0,176.4,42.0
46.0,3.68,39.0
48.0,7.61,46.0
51.0,10.86,41.0
57.0,12.51,39.0
58.0,12.51,39.0
60.0,251.91,43.0
61.0,1716.33,47.0
1.0,188.63,48.0
2.0,330.4,48.0
3.0,55.55,48.0
4.0,150.05,48.0
5.0,242.94,48.0
6.0,184.78,48.0
7.0,154.25,48.0
9.0,48.2,49.0
10.0,82.43,48.0
11.0,112.38,58.0
12.0,37.8,48.0
13.0,154.52,48.0
14.0,23.39,48.0
16.0,592.78,48.0
17.0,68.74,48.0
18.0,536.86,48.0
19.0,123.77,48.0
20.0,23.39,48.0
22.0,272.09,48.0
23.0,41.23,48.0
24.0,74.9,48.0
26.0,32.87,48.0
27.0,431.87,58.0
28.0,410.17,58.0
29.0,446.88,51.0
30.0,459.39,52.0
31.0,300.41,49.0
32.0,292.84,49.0
33.0,277.45,48.0
34.0,302.79,48.0
35.0,51.27,51.0
36.0,69.49,48.0
37.0,151.55,48.0
38.0,469.41,48.0
39.0,419.04,48.0
40.0,21.91,48.0
41.0,131.87,48.0
45.0,306.6,48.0
46.0,0.89,48.0
47.0,25.89,51.0
48.0,8.51,51.0
51.0,1639.84,51.0
56.0,15.68,53.0
57.0,566.24,51.0
58.0,566.24,51.0
61.0,30.57,58.0
9.0,48.2,54.0
30.0,571.99,54.0
31.0,300.41,54.0
32.0,292.84,54.0
35.0,603.78,54.0
47.0,661.19,54.0
48.0,646.35,54.0
56.0,280.04,54.0
60.0,559.76,54.0
11.0,105.49,56.0
15.0,10.93,56.0
27.0,430.9,56.0
28.0,409.21,56.0
30.0,465.91,56.0
51.0,9.87,56.0
61.0,23.69,56.0
1.0,216.82,55.0
2.0,312.3,55.0
3.0,83.74,55.0
4.0,110.88,55.0
5.0,271.13,55.0
6.0,212.97,55.0
7.0,195.78,55.0
8.0,593.86,55.0
10.0,110.62,55.0
12.0,65.99,55.0
13.0,126.27,55.0
14.0,58.3,55.0
17.0,105.03,55.0
18.0,534.34,55.0
19.0,95.52,55.0
20.0,58.3,55.0
21.0,309.67,55.0
22.0,276.3,55.0
23.0,69.42,55.0
24.0,103.09,55.0
25.0,71.25,55.0
26.0,38.41,55.0
29.0,282.66,55.0
33.0,305.63,55.0
34.0,339.09,55.0
35.0,481.73,55.0
36.0,97.68,55.0
37.0,197.05,55.0
38.0,451.31,55.0
39.0,400.94,55.0
40.0,58.2,55.0
41.0,168.17,55.0
42.0,358.16,55.0
43.0,446.1,55.0
44.0,443.59,55.0
45.0,342.89,55.0
46.0,41.19,55.0
47.0,518.79,55.0
48.0,514.84,55.0
50.0,438.08,55.0
53.0,513.93,55.0
54.0,585.28,55.0
55.0,585.28,55.0
57.0,44.97,55.0
58.0,44.97,55.0
60.0,406.8,55.0
4.0,479.89,57.0
8.0,100.06,57.0
9.0,691.46,57.0
13.0,538.74,57.0
19.0,536.36,57.0
21.0,561.93,57.0
22.0,555.36,57.0
25.0,558.82,57.0
26.0,559.28,57.0
29.0,445.98,57.0
31.0,467.76,57.0
32.0,471.54,57.0
35.0,50.37,57.0
38.0,796.09,57.0
39.0,745.72,57.0
42.0,519.48,57.0
43.0,512.88,57.0
44.0,440.55,57.0
46.0,561.55,57.0
47.0,24.98,57.0
48.0,7.61,57.0
53.0,581.57,57.0
57.0,565.34,57.0
58.0,565.34,57.0
